on the bench,Stop being a giant vagina.
on my bench,Stop being a giant vagina.
why doesn't,Stop being a giant vagina.
why doesnt,Stop being a giant vagina.
ass hole,Ahhh...I have iritable bowl. Please shove shit up my ass hole.
at work,We can't bill for that because the government's vagina has been rubbed raw with sand.
sex,Prison is awesome. You get free food free bed and all the sex you can handle.
sex,If it get's me gay sex I'm in.
sex,Is that all you got. Choke me you little bitch.
go ravens, Fuck you buddy.
trolling,Your trolling is weak.  I am not even excited yet
ravens fans,Why do ravens fans have such a chip on their shoulder?  Is it because you have to watch boring football every week?
ravens fans,I just like ravens fans delusional world.
what is,It is where men aren't killed they are just turned into pussies who wished they were dead
media,fact check.  All media is full of shit
media,They are foaming at the mouth to declare Clinton the winner
blow job,How does it feel?
bj,How does it feel?
secure,You feel more secure if someone is not trying to stab you with a penis
dick,Is there such a thing as "big dick privilege"?
gay,I like how all of the closet gay 80's music pretend to be singing about being in love with women
ghostbuster,There was a new ghostbuster?  gah.  Didn't see that piece of shit
//clinton,Yeah Clinton can be President.  We are all saved.  What cabinet position does James Comey get?
trans,Can't they make a no dongs rule in the women's shower?
tranny,Can't they make a no dongs rule in the women's shower?
tranni,Can't they make a no dongs rule in the women's shower?
sex,Can someone get stats for sex frequency with shared bedrooms vs separate?
smart,I think I am smart enough to know I am stupid
woman,Why do women react so poorly to the truth?
women,Why do women react so poorly to the truth?
ravens fans,They should just clockwork orange them with Gay porn and see if they get aroused
condom,No condom...thug life
dick,Are you saying we can't handle a big dick?
dick,It better be a white man's dick or it doesn't count.
I can't,Does that mean you can't masterbait?
I cant,Does that mean you can't masterbait?
penis,Are you circumcised?
female,no one wants a female super hero
woman,no one wants a female super hero
women,no one wants a female super hero
my dick,Are you circumcised? It might be worth seeing then
my penis,Are you circumcised? It might be worth seeing then
penis,Did you see it?
deomcrat,who would vote to kill babies. that is sick
rumor,How do you type with your butt hurting this bad?
apprentice,What is thy bidding my master?
dick,Stanley has a big dick (self reported)
looking good,Is that a metaphor for something?
lube,gross why would you say that
brady,Edelman and Brady are black eye paint fag brothers
brady,Brady must have a small dick because he wants to win so badly
tantrum,nothing like a Brady temper tantrum
lacy,He is super fat
big penis,He must be a ridiculous grower. he said he has hairy legs and feet like a British islander. do Hobbits have big slongs?
big dick,He must be a ridiculous grower. he said he has hairy legs and feet like a British islander. do Hobbits have big slongs?
elite,Elite at what?
flacco,you guys might want to find some hobbies. Flacco is happy. he gets an elite paycheck even when he loses
elite,Fact:  Flacco has elite paycheck
tiny penis,from who? your asshole?
tiny dick,from who? your asshole?
exploded,we don't want to hear about your sex life
Shawn Smith,Do you get these off of a 1980's website?
bengals,hopefully they will lose in the first round of the playoffs as usual
dick pic,At least make it a circumsized one
glorious,stop projecting your gay fantasies into this league
dong,Can we make a no dong talk rule in asr?
mexican,Brown lives matter
//Trump,Foreign relations are already better and Trump isn't even elected yet :).  Maybe Dennis Rodman can be his running mate that way he can get the cross dressing vote.
//Trump,Trump is funny everytime he does something the media thinks is mistake they cover it and make his poll numbers go up.  Why don't they just stop covering him?
socialism,What an asshole...trying to make money.  I am sure if we had government run plumbing it would be much better.  Isn't having indoor plumbing a fundamental right?
socialism,No more Wendy's under socialism.  It will be a single payer fast food system.  You have to apply to the government for you fast food order and you may get it six months later if the death panel approves your request.
//clinton and trump,Great we are going to be reduced to two choices.  Sharia law or Demolition Man
//trump and clinton,Great we are going to be reduced to two choices.  Sharia law or Demolition Man
//clinton or trump,Great we are going to be reduced to two choices.  Sharia law or Demolition Man
//trump or clinton,Great we are going to be reduced to two choices.  Sharia law or Demolition Man
hash tag,Can someone teach me how to use hash tags since I am so old and stupid?
hashtag,Can someone teach me how to use hash tags since I am so old and stupid?
#,Can someone teach me how to use hash tags since I am so old and stupid?
hashtag,What is a hash tag?
hash tag,What is a hash tag?
suck,Penis?
pussy,Pussy is no joke.
anthem,Soon no one will stand for nation anthem.  Maybe Clinton will get rid of it
the fucking,Why so angry?
where i live,Are there any black people?
liberals,They hate the current version of America.  They want one with a white minority that needs to suffer for past sins
racis,Non whites must love shitty neighborhoods and government program.  Keep the shit flowing
1776,It is when a nation of non-cucked men come in and kill all of our cucked men and take over
//election,It is a no win scenario.  Need kirk to cheat the system
gross,pussy or Titcomb?
big dick,I thought that was only for people longer than 8 inches
big dick,Can guys with big dicks be cucked?
cuck,Can guys with big dicks be cu
roethlisberger,He's no flacco
